id,date,lat,lon,n_injured,n_killed,loc,state,county,pov_all,pov_child,unemployment,less_than_hs,hs,some_college,bachelors
477067,2016-01-01T08:00:00.000Z,33.8127,-118.263,0,1,Carson,California,06037,14.9,20.9,4.7,22.3,20.7,26.3,30.8
476465,2016-01-01T08:00:00.000Z,35.4053,-118.963,0,1,Bakersfield,California,06029,21.2,29,9.2,26.4,27.2,30.7,15.7
476545,2016-01-01T08:00:00.000Z,37.7663,-122.18,1,0,Oakland,California,06001,9.3,10.5,3.6,12.7,18.0,25.4,43.9
477329,2016-01-01T08:00:00.000Z,34.124,-118.158,0,0,Pasadena,California,06037,14.9,20.9,4.7,22.3,20.7,26.3,30.8
476609,2016-01-01T08:00:00.000Z,32.8267,-116.925,0,1,El Cajon,California,06073,11.9,15.7,4,13.6,18.8,31.1,36.5
477245,2016-01-01T08:00:00.000Z,33.7586,-116.919,0,0,Hemet,California,06065,12.9,16.2,5.2,19.5,25.9,33.4,21.2
476568,2016-01-01T08:00:00.000Z,33.8171,-118.198,2,1,Long Beach,California,06037,14.9,20.9,4.7,22.3,20.7,26.3,30.8
479184,2016-01-01T08:00:00.000Z,36.0581,-119.051,3,0,Porterville,California,06107,24,31.9,10.4,31.8,25.4,28.8,14.0
477314,2016-01-01T08:00:00.000Z,33.7258,-117.859,1,0,Santa Ana,California,06059,11.5,15.7,3.5,15.5,17.4,28.6,38.4
477316,2016-01-01T08:00:00.000Z,34.0558,-117.757,0,1,Pomona,California,06037,14.9,20.9,4.7,22.3,20.7,26.3,30.8
478440,2016-01-01T08:00:00.000Z,36.7256,-119.797,0,0,Fresno,California,06019,21.1,28.3,8.5,26.2,22.7,31.3,19.7
477331,2016-01-01T08:00:00.000Z,37.9548,-121.271,0,0,Stockton,California,06077,15.5,21.6,7,22.0,26.6,33.2,18.2
476694,2016-01-01T08:00:00.000Z,36.6939,-119.564,0,1,Sanger,California,06019,21.1,28.3,8.5,26.2,22.7,31.3,19.7
477305,2016-01-01T08:00:00.000Z,33.8355,-117.904,0,1,Anaheim,California,06059,11.5,15.7,3.5,15.5,17.4,28.6,38.4
479176,2016-01-01T08:00:00.000Z,38.0849,-122.225,0,0,Vallejo,California,06095,10,14,4.8,12.5,23.5,38.9,25.1
476652,2016-01-01T08:00:00.000Z,39.5003,-121.551,0,0,Oroville,California,06007,18.1,22.6,5.7,11.7,22.7,39.4,26.1
476467,2016-01-01T08:00:00.000Z,38.5796,-121.302,0,1,Rancho Cordova,California,06067,14.1,18.2,4.6,13.2,22.4,35.1,29.3
477104,2016-01-01T08:00:00.000Z,32.7545,-117.16,0,1,San Diego,California,06073,11.9,15.7,4,13.6,18.8,31.1,36.5
477684,2016-01-02T08:00:00.000Z,37.9252,-122.349,1,0,Richmond,California,06013,9.1,11.2,3.8,10.9,18.2,30.6,40.3
477936,2016-01-02T08:00:00.000Z,33.2034,-117.34,1,0,Oceanside,California,06073,11.9,15.7,4,13.6,18.8,31.1,36.5
477453,2016-01-02T08:00:00.000Z,34.0706,-117.672,0,3,Ontario,California,06071,16,23,4.9,21.2,26.2,33.3,19.3
551774,2016-01-02T08:00:00.000Z,33.9763,-117.689,1,0,Chino,California,06071,16,23,4.9,21.2,26.2,33.3,19.3
517862,2016-01-02T08:00:00.000Z,33.7213,-117.873,0,0,Santa Ana,California,06059,11.5,15.7,3.5,15.5,17.4,28.6,38.4
