FIPS Code,State,Area name,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree6,Percent of adults with a bachelor's degree or higher,poverty_children,poverty_all,unemployment
0,US,United States,13.0,27.5,29.1,30.3,18.4,13.4,4.4
1000,AL,Alabama,15.2,31.0,29.8,24.0,24.4,16.9,4.4
1001,AL,Autauga County,12.4,34.3,28.7,24.6,19.3,13.4,3.9
1003,AL,Baldwin County,10.0,28.7,31.8,29.5,14.7,10.1,4
1005,AL,Barbour County,26.2,34.9,26.0,12.9,50.3,33.4,5.9
1007,AL,Bibb County,19.3,41.8,26.9,12.0,27.3,20.2,4.4
1009,AL,Blount County,20.0,32.9,34.0,13.1,18.5,12.8,4
1011,AL,Bullock County,33.4,34.1,22.2,10.3,48.3,34.4,4.9
1013,AL,Butler County,18.9,39.9,25.1,16.1,33,21.3,5.5
1015,AL,Calhoun County,17.7,32.1,32.6,17.7,24.2,17.7,4.9
1017,AL,Chambers County,19.7,39.4,28.4,12.5,29.6,18.2,4.1
1019,AL,Cherokee County,18.7,36.0,31.4,14.0,25,17.2,4.1
1021,AL,Chilton County,19.9,41.3,24.0,14.9,22.6,16.8,4
1023,AL,Choctaw County,21.1,37.3,29.6,12.0,34.8,23.7,6.4
1025,AL,Clarke County,19.0,45.1,23.8,12.1,31.9,23.3,8.5
1027,AL,Clay County,25.4,34.6,29.0,11.1,25.5,18.1,4.4
1029,AL,Cleburne County,25.8,38.0,24.7,11.5,22.4,16.1,4.5
1031,AL,Coffee County,14.9,29.3,32.1,23.7,24.8,15.5,4.4
1033,AL,Colbert County,16.6,34.8,30.1,18.5,22.2,15.4,5.2
1035,AL,Conecuh County,20.6,46.2,24.6,8.7,42.9,23.7,6.1
1037,AL,Coosa County,27.1,36.3,26.7,9.9,27.6,17.4,4.6
1039,AL,Covington County,19.1,34.4,31.6,14.9,25.9,17.7,5.2
1041,AL,Crenshaw County,21.7,38.5,25.1,14.6,29.3,19.9,4.5
1043,AL,Cullman County,17.8,35.1,32.1,15.0,18.7,13.8,3.7
1045,AL,Dale County,14.2,33.1,36.7,16.1,25.9,17.7,4.4
1047,AL,Dallas County,21.0,36.5,28.8,13.8,43.2,27.9,7.5
1049,AL,DeKalb County,27.4,34.3,27.0,11.4,27.8,19.5,4.5
1051,AL,Elmore County,13.2,35.4,29.1,22.2,16.5,12,3.6
1053,AL,Escambia County,19.5,43.4,25.4,11.6,33.7,23.3,5
1055,AL,Etowah County,17.5,32.5,33.4,16.5,29.3,18.1,4.6
1057,AL,Fayette County,20.8,39.0,26.0,14.1,27.6,19.4,4.7
1059,AL,Franklin County,24.3,36.7,26.6,12.4,29.8,20.5,4.2
1061,AL,Geneva County,22.3,36.0,30.1,11.7,34.3,21.7,4.3
1063,AL,Greene County,23.1,41.0,26.0,10.0,49.4,33.2,7.7
1065,AL,Hale County,18.6,42.8,24.6,14.0,35.5,25.1,5.9
1067,AL,Henry County,19.3,36.1,28.4,16.1,27.5,17,4.9
1069,AL,Houston County,15.1,32.1,31.8,21.0,26.5,16.6,4.3
1071,AL,Jackson County,20.5,41.1,25.8,12.6,23.3,16.6,4.8
1073,AL,Jefferson County,11.0,26.5,31.1,31.4,23.1,16.7,4.2
1075,AL,Lamar County,22.6,35.4,29.0,13.1,26.1,18.7,4.2
1077,AL,Lauderdale County,15.1,34.6,28.6,21.7,18.8,13.7,4.6
1079,AL,Lawrence County,22.5,39.9,27.4,10.3,24.4,16.8,4.9
1081,AL,Lee County,11.3,24.5,29.8,34.4,19.2,17.8,3.9
1083,AL,Limestone County,16.8,32.0,27.9,23.3,16.5,11.9,4
1085,AL,Lowndes County,25.2,37.7,24.9,12.3,40,25.9,8
1087,AL,Macon County,19.5,31.2,29.2,20.0,44.7,30.6,5.8
1089,AL,Madison County,9.2,20.9,29.2,40.7,18.1,12.8,3.8
1091,AL,Marengo County,16.1,40.2,28.8,14.8,32.5,22.8,5.7
1093,AL,Marion County,20.1,35.0,32.5,12.5,27.5,19.3,4.8
1095,AL,Marshall County,21.4,31.9,30.1,16.6,31.4,20.1,3.8
1097,AL,Mobile County,14.2,32.6,30.7,22.5,31.4,19.7,5.2
1099,AL,Monroe County,18.0,45.1,24.6,12.4,34.2,23.8,6.7
1101,AL,Montgomery County,14.5,25.4,28.7,31.5,33.7,21.3,4.3
1103,AL,Morgan County,17.5,30.1,31.0,21.4,20.7,14.8,4.1
1105,AL,Perry County,23.6,39.5,22.4,14.5,51.3,37.2,7.9
1107,AL,Pickens County,18.9,39.9,30.1,11.1,31.2,22.3,5.3
1109,AL,Pike County,20.0,32.7,23.3,24.0,37.7,27.7,4.9
1111,AL,Randolph County,22.7,36.4,25.5,15.4,27.9,17,4.4
1113,AL,Russell County,17.4,31.2,34.4,17.0,34.9,23.2,4.3
1115,AL,St. Clair County,16.5,36.1,31.3,16.1,17.6,13.5,4
1117,AL,Shelby County,8.4,21.0,29.1,41.4,9.1,7.4,3.2
1119,AL,Sumter County,20.0,41.6,20.3,18.1,46.1,35.9,6.5
1121,AL,Talladega County,20.2,35.7,31.0,13.1,27.5,18.3,5
1123,AL,Tallapoosa County,20.4,35.3,27.0,17.3,28,18.3,4.2
1125,AL,Tuscaloosa County,11.9,30.3,28.4,29.4,19.7,15.9,4.1
1127,AL,Walker County,21.4,36.6,31.4,10.5,22.7,17.4,5
1129,AL,Washington County,20.3,45.8,24.3,9.6,28.2,20.2,6.8
1131,AL,Wilcox County,20.1,44.9,23.6,11.3,47,32,11.4
1133,AL,Winston County,24.0,34.3,28.6,13.1,30.1,21.3,5
2000,AK,Alaska,7.7,27.7,35.8,28.8,14.5,11,7.2
2010,AK,Aleutian Islands,,,,,,,
2013,AK,Aleutians East Borough,15.6,42.0,30.4,11.9,11.5,14.6,2.5
2016,AK,Aleutians West Census Area,12.5,40.3,31.5,15.7,7.6,8.1,3.6
2020,AK,Anchorage Municipality,6.7,24.0,35.0,34.3,12.2,9.6,6
2050,AK,Bethel Census Area,19.1,45.4,24.1,11.4,35.5,28.7,13.8
2060,AK,Bristol Bay Borough,7.4,34.8,38.7,19.1,19.1,10.9,6.3
2068,AK,Denali Borough,3.8,23.4,34.3,38.5,9,8,9.4
2070,AK,Dillingham Census Area,13.2,36.9,32.4,17.6,31.4,20.8,9.3
2090,AK,Fairbanks North Star Borough,5.6,22.2,38.8,33.4,9,7.4,6.3
2100,AK,Haines Borough,4.5,25.7,29.3,40.4,19.6,11.4,9.1
2105,AK,Hoonah-Angoon Census Area,9.4,33.9,32.4,24.3,32.2,17.6,12.6
2110,AK,Juneau City and Borough,4.4,21.2,35.0,39.4,10.7,8.3,4.7
2122,AK,Kenai Peninsula Borough,7.3,32.2,36.9,23.7,13.9,10.2,8.5
2130,AK,Ketchikan Gateway Borough,8.0,31.7,36.5,23.8,12.8,9.9,6.3
2150,AK,Kodiak Island Borough,9.3,27.3,38.5,24.9,10,7.5,5.1
2158,AK,Kusilvak Census Area,21.6,52.2,21.4,4.8,45.3,37.5,20.1
2160,AK,Kuskokwim Division,,,,,,,
2164,AK,Lake and Peninsula Borough,13.7,42.5,31.4,12.5,22.3,15.7,11.9
2170,AK,Matanuska-Susitna Borough,7.6,31.8,40.0,20.6,12.7,11.3,8.7
2180,AK,Nome Census Area,15.1,43.1,27.9,13.9,28.8,23.2,12.6
2185,AK,North Slope Borough,11.6,37.8,36.3,14.2,16.5,12.2,7.4
2188,AK,Northwest Arctic Borough,20.9,45.0,23.4,10.8,33.1,26,16.8
2195,AK,Petersburg Census Area,7.6,33.7,33.7,25.0,9.7,7.4,9.3
2198,AK,Prince of Wales-Hyder Census Area,9.5,39.1,35.6,15.8,24,18.5,11.4
2201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,,0
2220,AK,Sitka City and Borough,7.4,25.7,34.6,32.4,10,8.1,4.7
2230,AK,Skagway Municipality,3.5,24.9,37.9,33.7,8.6,4.3,10.6
2231,AK,Skagway-Yakutat-Angoon Census Area,,,,,,,
2232,AK,Skagway-Hoonah-Angoon Census Area,,,,,,,0
2240,AK,Southeast Fairbanks Census Area,9.3,33.4,38.1,19.2,18,12.8,10.4
2250,AK,Upper Yukon Division,,,,,,,
2261,AK,Valdez-Cordova Census Area,7.2,27.3,35.4,30.1,11.9,9.2,8
2275,AK,Wrangell City and Borough,11.9,34.3,33.6,20.3,18.8,12.4,7.7
2280,AK,Wrangell-Petersburg Census Area,,,,,,,0
2282,AK,Yakutat City and Borough,5.5,40.8,33.9,19.7,30.7,15.3,9.4
2290,AK,Yukon-Koyukuk Census Area,17.1,39.9,30.7,12.3,29.3,23.2,18.3
4000,AZ,Arizona,13.8,24.3,34.0,28.0,21,14.9,4.9
4001,AZ,Apache County,21.8,33.5,33.7,11.1,43.3,33.1,10.4
4003,AZ,Cochise County,13.4,23.2,40.2,23.2,25,16.1,5.6
4005,AZ,Coconino County,11.1,21.6,33.1,34.2,21.5,18.4,5.6
4007,AZ,Gila County,15.7,28.7,37.9,17.7,39,24.1,6.1
4009,AZ,Graham County,14.6,32.9,39.2,13.3,26.4,20.9,5.4
4011,AZ,Greenlee County,12.1,36.8,38.9,12.2,11.7,10.1,5.1
4012,AZ,La Paz County,24.8,36.4,28.3,10.4,32.5,20.9,5.4
4013,AZ,Maricopa County,13.1,22.9,33.0,31.0,19.1,13.5,4.2
4015,AZ,Mohave County,16.1,36.0,36.0,11.9,28.7,17.3,5.9
4017,AZ,Navajo County,18.5,30.3,36.7,14.5,36.9,26.4,7.6
4019,AZ,Pima County,12.3,22.6,34.4,30.8,22.5,16.6,4.5
4021,AZ,Pinal County,15.1,29.2,37.2,18.5,17,13,5
4023,AZ,Santa Cruz County,25.2,26.2,26.1,22.5,35.2,23.6,9.5
4025,AZ,Yavapai County,9.8,25.8,38.8,25.5,20.7,13.9,4.5
4027,AZ,Yuma County,28.3,25.6,31.8,14.4,26.1,19,17
5000,AR,Arkansas,14.8,34.7,29.0,21.5,22.5,16.3,3.7
5001,AR,Arkansas County,17.5,40.6,27.5,14.4,26.3,19.9,3.3
5003,AR,Ashley County,16.1,39.7,30.6,13.6,28.5,19.8,5.7
5005,AR,Baxter County,12.8,34.4,35.1,17.7,21,13.9,4.2
5007,AR,Benton County,12.8,30.5,26.0,30.7,11.6,9.1,2.9
5009,AR,Boone County,15.0,34.6,35.4,15.0,21.6,14.9,3.4
5011,AR,Bradley County,20.1,41.5,24.2,14.2,29.1,20.9,4.7
5013,AR,Calhoun County,16.8,49.6,21.6,12.0,21.4,15.2,3.9
5015,AR,Carroll County,16.2,34.9,31.2,17.7,25.8,16.4,3.3
5017,AR,Chicot County,19.9,42.0,24.9,13.1,42.2,30.1,6.5
5019,AR,Clark County,13.5,30.9,30.9,24.7,25.9,21.4,4
5021,AR,Clay County,20.9,42.4,25.4,11.3,25.4,18.1,4.6
5023,AR,Cleburne County,16.7,38.2,29.7,15.4,23.9,15.6,4.9
5025,AR,Cleveland County,13.9,43.9,26.5,15.7,21.1,14.3,4.4
5027,AR,Columbia County,14.8,39.2,24.0,21.9,32.5,25.5,5
5029,AR,Conway County,15.0,42.3,25.8,16.9,26.8,17.2,4.7
5031,AR,Craighead County,12.0,34.2,28.3,25.4,19.5,14.9,3
5033,AR,Crawford County,14.7,40.0,31.8,13.6,28.1,17.5,3.5
5035,AR,Crittenden County,18.2,35.6,28.8,17.4,31.9,21.1,4.3
