FIPStxt,State,Area_Name,poverty_all,poverty_children
00000,US,United States,13.4,18.4
01000,AL,Alabama,16.9,24.4
01001,AL,Autauga County,13.4,19.3
01003,AL,Baldwin County,10.1,14.7
01005,AL,Barbour County,33.4,50.3
01007,AL,Bibb County,20.2,27.3
01009,AL,Blount County,12.8,18.5
01011,AL,Bullock County,34.4,48.3
01013,AL,Butler County,21.3,33.0
01015,AL,Calhoun County,17.7,24.2
01017,AL,Chambers County,18.2,29.6
01019,AL,Cherokee County,17.2,25.0
01021,AL,Chilton County,16.8,22.6
01023,AL,Choctaw County,23.7,34.8
01025,AL,Clarke County,23.3,31.9
01027,AL,Clay County,18.1,25.5
01029,AL,Cleburne County,16.1,22.4
01031,AL,Coffee County,15.5,24.8
01033,AL,Colbert County,15.4,22.2
01035,AL,Conecuh County,23.7,42.9
01037,AL,Coosa County,17.4,27.6
01039,AL,Covington County,17.7,25.9
01041,AL,Crenshaw County,19.9,29.3
01043,AL,Cullman County,13.8,18.7
01045,AL,Dale County,17.7,25.9
01047,AL,Dallas County,27.9,43.2
01049,AL,DeKalb County,19.5,27.8
01051,AL,Elmore County,12.0,16.5
01053,AL,Escambia County,23.3,33.7
01055,AL,Etowah County,18.1,29.3
01057,AL,Fayette County,19.4,27.6
01059,AL,Franklin County,20.5,29.8
01061,AL,Geneva County,21.7,34.3
01063,AL,Greene County,33.2,49.4
01065,AL,Hale County,25.1,35.5
01067,AL,Henry County,17.0,27.5
01069,AL,Houston County,16.6,26.5
01071,AL,Jackson County,16.6,23.3
01073,AL,Jefferson County,16.7,23.1
01075,AL,Lamar County,18.7,26.1
01077,AL,Lauderdale County,13.7,18.8
01079,AL,Lawrence County,16.8,24.4
01081,AL,Lee County,17.8,19.2
01083,AL,Limestone County,11.9,16.5
01085,AL,Lowndes County,25.9,40.0
01087,AL,Macon County,30.6,44.7
01089,AL,Madison County,12.8,18.1
01091,AL,Marengo County,22.8,32.5
01093,AL,Marion County,19.3,27.5
